USERID,n_azioni,n_attivita_distinte,n_giorni_attivi,durata_giorni,feature0_media,feature1_media,feature2_media,feature3_media,ABBANDONO
1835,75,30,10,26.214,-0.14,-0.198,0.027,-0.067,0
1836,166,62,9,22.079,-0.198,0.239,0.025,-0.043,0
1837,15,8,1,0.022,-0.32,0.412,-0.06,-0.067,1
1838,62,27,3,8.994,-0.103,0.508,-0.119,-0.045,1
1839,83,59,2,21.061,-0.288,0.423,-0.038,-0.031,1
1840,171,73,7,20.074,0.098,0.055,-0.066,-0.047,0
1841,53,16,3,20.224,-0.295,0.524,-0.092,-0.067,1
1842,10,8,1,0.131,-0.32,0.073,0.007,-0.067,1
1843,31,15,4,6.084,-0.19,0.303,-0.071,-0.061,0
1844,126,50,9,24.88,0.204,-0.355,-0.013,-0.05,0
1845,8,5,1,0.064,-0.32,-0.118,0.044,-0.067,1
1846,100,48,7,16.699,-0.037,0.022,-0.008,-0.023,0
1847,20,12,1,0.009,-0.32,0.582,-0.044,-0.067,1
1848,278,68,15,27.043,0.005,-0.033,-0.025,-0.021,0
1849,251,39,8,26.654,-0.266,0.274,-0.041,-0.034,0
1850,177,75,8,21.895,0.145,0.067,-0.063,-0.033,0
1851,23,12,1,0.175,-0.144,-0.214,0.02,-0.05,1
1852,33,18,4,17.171,-0.197,-0.127,0.001,-0.067,0
1853,219,60,12,26.472,-0.228,0.064,0.072,-0.037,0
1854,45,21,7,18.938,-0.14,-0.153,0.04,-0.054,0
1855,10,5,1,0.001,-0.32,-0.181,0.057,-0.067,1
1856,133,48,11,21.132,-0.036,0.062,-0.04,-0.033,0
1857,18,14,1,0.055,-0.245,0.554,-0.116,-0.067,1
1858,19,8,1,0.015,-0.036,-0.034,-0.025,0.059,1
1859,120,38,3,14.701,0.051,-0.33,0.015,-0.034,0
1860,12,9,1,0.053,-0.32,0.412,-0.06,-0.067,1
1861,57,18,5,5.825,-0.178,0.011,0.019,0.024,1
1862,4,3,1,0.002,-0.32,-0.436,0.232,-0.017,1
1863,9,6,3,10.582,-0.32,-0.153,0.162,-0.0,1
1864,112,35,7,17.542,-0.091,0.019,0.107,-0.023,1
1865,8,4,1,0.002,0.186,-0.436,-0.081,-0.067,1
1866,16,5,5,15.845,0.27,-0.436,-0.05,-0.067,1
1867,154,28,7,12.839,-0.215,0.076,0.071,0.029,0
1868,9,8,1,0.014,-0.32,0.13,-0.005,-0.067,1
1869,107,45,6,23.777,0.499,0.04,-0.109,0.021,0
1870,127,44,14,27.118,0.243,-0.255,0.012,0.012,0
1871,75,33,4,15.743,-0.104,0.277,-0.047,-0.006,1
1872,36,14,1,0.676,-0.32,0.554,-0.088,-0.067,1
1873,35,15,3,7.89,-0.127,0.291,-0.036,0.099,1
1874,18,8,2,0.995,-0.32,-0.436,0.274,-0.067,1
1875,8,3,1,0.014,-0.32,-0.436,0.295,-0.067,1
1876,132,53,8,27.157,-0.034,0.104,-0.064,-0.061,0
1877,161,51,13,26.079,-0.044,-0.357,0.206,-0.042,0
1878,137,35,9,20.992,-0.182,0.27,0.048,-0.038,1
1879,44,17,3,17.078,-0.289,0.143,0.004,-0.049,1
1880,107,63,5,21.068,0.247,0.135,-0.123,-0.03,0
1881,5,4,1,0.001,-0.32,0.073,0.007,-0.067,1
1882,138,60,12,27.045,-0.037,0.173,-0.049,-0.037,0
1883,7,5,3,9.859,-0.32,-0.436,0.107,-0.067,1
1884,5,4,1,0.009,-0.32,0.073,0.007,-0.067,1
1885,83,27,6,22.048,0.297,0.116,-0.08,0.027,0
1886,7,4,1,0.009,-0.32,-0.436,0.107,-0.067,1
1887,204,71,19,23.029,-0.003,0.051,-0.065,-0.052,0
1888,110,32,9,19.686,0.097,-0.204,0.007,0.07,0
1889,190,47,17,26.82,-0.242,-0.288,0.199,0.007,0
1890,109,35,12,23.575,-0.159,-0.389,0.098,-0.056,1
1891,11,7,1,0.04,-0.32,0.49,-0.075,-0.067,1
1892,22,7,5,21.141,-0.32,0.258,-0.03,-0.067,0
1893,72,32,7,27.163,-0.114,-0.33,0.323,0.239,0
1894,24,10,3,13.99,0.523,-0.012,-0.144,0.1,1
1895,39,16,4,4.015,-0.251,0.086,0.004,-0.042,1
1896,4,3,2,3.031,-0.32,-0.436,0.357,0.133,1
1897,16,13,1,0.128,0.186,0.359,-0.112,-0.067,0
1898,107,25,5,14.849,-0.257,0.04,0.027,-0.037,0
1899,18,9,2,12.98,0.279,-0.436,-0.06,-0.067,1
1900,50,30,4,8.099,-0.023,0.277,-0.104,-0.031,0
1901,31,21,2,6.088,-0.277,0.303,-0.055,-0.067,1
1902,19,7,2,2.111,-0.32,-0.436,0.291,0.059,1
1903,52,18,5,17.047,-0.268,0.151,0.001,-0.067,1
1904,75,38,9,27.057,-0.122,-0.334,0.053,-0.008,0
1905,25,19,2,6.272,-0.05,0.175,-0.094,-0.067,0
1906,4,4,1,0.011,-0.32,0.2,-0.018,-0.067,1
1907,39,18,4,21.029,-0.113,-0.109,-0.022,-0.067,1
1908,87,28,6,23.975,-0.258,0.149,0.003,-0.049,1
1909,7,5,1,0.001,-0.32,-0.072,0.035,-0.067,1
1910,12,8,2,1.293,-0.32,-0.224,0.107,0.1,1
1911,84,37,8,27.062,0.113,-0.315,0.011,-0.031,0
1912,267,61,9,26.857,-0.108,0.212,-0.07,-0.044,0
1913,58,48,4,26.084,0.005,0.266,-0.118,-0.057,0
1914,306,58,18,26.967,-0.205,-0.086,0.056,-0.037,0
1915,78,37,6,19.012,0.544,-0.403,-0.028,-0.039,0
1916,155,62,6,25.772,0.08,-0.091,-0.029,0.027,1
1917,98,25,6,20.888,-0.1,0.006,0.035,-0.03,1
1918,9,3,4,2.947,-0.32,-0.436,0.107,-0.067,1
1919,5,5,1,0.035,-0.32,0.073,0.007,-0.067,1
1920,100,52,6,15.848,-0.05,0.277,-0.084,-0.055,0
1921,10,6,1,0.003,0.354,-0.181,-0.144,-0.067,1
1922,6,6,1,0.016,-0.32,-0.012,0.023,-0.067,1
1923,49,33,5,23.064,-0.017,-0.332,-0.006,-0.063,0
1924,4,3,2,4.924,-0.32,-0.436,0.107,-0.067,1
1925,69,24,4,21.551,-0.164,0.154,-0.002,-0.024,1
1926,73,39,5,24.543,0.16,-0.122,-0.079,-0.054,0
1927,50,15,9,25.021,-0.05,-0.13,-0.003,-0.011,0
1928,5,5,1,0.013,-0.32,0.073,0.007,-0.067,1
1929,7,4,2,0.844,-0.32,-0.436,0.465,0.363,1
1930,22,12,1,0.119,-0.075,-0.204,0.038,-0.058,1
1931,15,14,2,6.689,-0.32,0.412,-0.06,-0.067,1
1932,25,12,4,18.709,-0.32,0.175,0.007,-0.027,1
1933,4,2,1,0.0,-0.32,-0.436,0.232,-0.067,1
1934,19,11,1,0.038,0.035,0.1,-0.078,0.038,0
1935,49,26,3,26.124,0.23,0.084,-0.006,-0.03,0
1936,14,6,1,0.043,-0.32,-0.436,0.143,-0.039,1
1937,133,49,7,16.14,-0.036,0.272,-0.082,-0.058,0
1938,61,28,4,13.726,-0.077,-0.394,0.049,-0.051,0
1939,27,11,2,15.929,0.579,-0.436,-0.079,0.007,1
1940,77,39,13,23.691,0.048,-0.006,-0.036,-0.015,0
1941,143,53,19,25.779,0.104,-0.098,-0.047,-0.043,0
1942,6,2,1,0.007,-0.32,-0.436,0.107,-0.067,1
1943,42,19,3,20.674,-0.192,0.412,-0.084,-0.067,1
1944,8,7,1,0.009,-0.32,-0.118,0.044,-0.067,1
1945,101,40,6,26.739,0.08,-0.108,-0.042,-0.051,1
1946,9,5,1,0.014,-0.32,0.13,-0.005,-0.067,1
1947,98,46,8,27.004,0.051,-0.41,0.061,-0.051,0
1948,59,22,8,25.033,-0.0,-0.306,0.124,0.042,1
1949,8,6,1,0.001,-0.32,-0.118,0.044,-0.067,1
1950,98,46,5,16.969,0.106,0.187,-0.087,-0.014,0
1951,76,59,4,21.027,0.106,0.334,-0.157,-0.062,0
1952,69,25,4,13.864,-0.261,0.449,-0.067,-0.044,1
1953,28,13,1,0.028,-0.079,0.019,-0.018,-0.031,1
1954,77,46,8,24.825,-0.092,0.291,-0.062,0.006,1
1955,138,62,7,19.829,0.012,-0.012,-0.038,-0.034,0
1956,14,8,4,20.96,-0.32,0.11,-0.001,-0.067,0
1957,11,5,1,0.037,-0.32,-0.436,0.426,-0.031,1
1958,31,17,5,18.095,0.071,-0.354,0.091,0.101,0
1959,47,25,3,6.794,-0.205,0.376,-0.074,-0.029,1
1960,7,5,1,0.052,-0.32,0.291,-0.036,-0.067,1
1961,85,35,7,25.911,0.124,-0.436,0.024,-0.058,1
1962,28,11,4,9.656,-0.32,0.019,0.089,-0.053,1
1963,20,16,3,14.997,-0.185,-0.054,0.007,-0.067,1
1964,4,3,1,0.009,-0.32,-0.436,0.107,-0.067,1
1965,8,4,2,1.998,-0.32,0.2,-0.018,-0.067,1
1966,47,14,4,4.714,-0.234,0.106,0.0,-0.016,1
1967,13,8,2,8.018,0.302,-0.436,-0.047,-0.067,1
1968,193,46,11,24.996,-0.257,0.197,0.003,-0.04,0
1969,32,21,2,9.775,-0.194,0.041,-0.034,-0.067,1
1970,47,12,4,7.683,-0.205,-0.436,0.096,-0.012,1
1971,130,48,8,26.792,-0.206,0.386,-0.086,-0.064,0
1972,16,9,1,0.011,0.101,-0.436,0.013,-0.042,1
1973,8,4,1,0.008,-0.32,-0.436,0.232,0.008,1
1974,81,35,8,25.016,0.462,-0.341,-0.073,-0.008,0
1975,8,6,1,0.002,-0.32,0.2,-0.018,-0.067,1
1976,82,38,7,25.844,0.502,-0.063,-0.083,0.016,0
1977,28,21,3,19.003,0.113,-0.254,-0.001,0.076,1
1978,27,17,3,8.761,-0.32,0.601,-0.079,-0.052,1
1979,89,36,7,21.817,-0.184,0.222,-0.04,-0.043,1
1980,29,16,2,0.941,0.005,0.091,-0.049,0.002,1
1981,12,9,2,2.706,-0.32,-0.012,0.023,-0.067,1
1982,6,4,1,0.013,-0.32,-0.012,0.023,-0.067,1
1983,63,28,2,7.617,-0.063,0.453,-0.108,0.028,1
1984,21,8,4,6.412,-0.32,-0.193,0.083,-0.02,1
1985,5,4,2,1.01,-0.32,0.073,0.007,-0.067,1
1986,4,1,1,0.0,-0.32,-0.436,0.107,-0.067,1
1987,31,16,2,6.663,-0.016,-0.272,-0.023,-0.067,1
1988,34,15,2,10.086,-0.32,0.163,0.048,-0.038,0
1989,189,53,9,21.14,0.129,-0.422,0.162,0.197,0
1990,199,76,12,26.705,-0.029,0.344,-0.082,-0.031,0
1991,11,5,3,2.904,-0.32,-0.436,0.107,-0.067,1
1992,77,34,7,17.028,-0.215,-0.006,0.035,-0.028,0
1993,44,24,5,26.742,-0.106,-0.031,-0.041,-0.067,1
1994,33,15,3,8.028,-0.157,0.335,-0.091,-0.067,1
1995,5,2,1,0.001,-0.32,-0.436,0.107,-0.067,1
1996,5,3,2,2.06,-0.32,-0.436,0.107,-0.067,1
1997,60,27,3,24.039,-0.185,0.285,-0.069,-0.067,0
1998,6,5,1,0.009,-0.32,-0.436,0.107,-0.067,1
1999,49,31,5,21.873,-0.072,-0.176,-0.016,-0.067,0
2000,78,26,5,19.581,0.147,-0.175,-0.035,-0.018,0
2001,105,42,6,23.04,0.142,0.0,-0.041,-0.041,0
2002,8,5,2,0.718,-0.32,-0.118,0.044,-0.067,1
2003,9,6,1,0.001,-0.32,-0.153,0.218,-0.067,1
2004,15,7,2,25.861,-0.32,-0.266,0.107,-0.0,1
2005,106,47,7,26.961,-0.218,-0.22,0.074,-0.014,1
2006,12,7,1,0.525,0.242,-0.436,-0.018,0.117,1
2007,58,14,3,8.462,-0.32,0.354,-0.04,-0.067,1
2008,105,43,8,24.412,0.129,0.122,-0.07,0.521,0
2009,4,2,1,0.0,-0.32,-0.436,0.107,-0.067,1
2010,29,15,3,5.028,0.005,0.003,0.003,-0.012,1
2011,40,17,8,23.938,0.657,-0.436,-0.069,0.048,0
2012,15,11,3,13.8,-0.14,0.073,-0.027,-0.067,0
2013,33,19,3,11.06,-0.075,-0.359,0.031,-0.055,0
2014,184,46,10,27.076,0.2,-0.284,-0.032,-0.039,0
2015,122,59,7,21.819,0.255,0.169,-0.131,-0.034,0
2016,20,10,3,7.657,-0.32,0.328,-0.044,-0.067,1
2017,16,8,2,2.484,-0.32,0.041,0.044,-0.067,1
2018,4,3,1,0.0,-0.32,-0.436,0.232,-0.067,0
2019,97,48,8,22.037,-0.07,0.115,-0.053,0.001,0
2020,43,22,5,17.894,-0.163,-0.021,0.014,-0.063,1
2021,106,43,6,23.626,0.138,-0.316,0.012,-0.005,1
2022,37,29,4,18.058,-0.174,0.046,-0.029,-0.067,1
2023,30,12,4,19.949,-0.05,-0.096,-0.027,-0.007,1
2024,56,34,6,26.977,0.161,-0.436,-0.001,-0.046,0
2025,13,9,2,10.0,0.406,-0.24,-0.124,-0.021,0
2026,65,31,5,27.017,0.116,-0.005,-0.078,-0.067,0
2027,7,5,2,0.914,-0.32,-0.072,0.035,-0.067,1
2028,7,3,1,0.001,-0.32,-0.072,0.035,-0.067,1
2029,26,22,3,7.927,-0.113,0.347,-0.086,-0.036,1
2030,15,11,2,6.577,-0.32,0.243,-0.027,-0.067,1
2031,121,69,4,21.05,0.025,0.195,-0.092,-0.036,0
2032,45,15,2,9.026,0.01,0.13,-0.071,-0.058,1
2033,223,75,11,21.597,0.2,0.26,-0.086,-0.006,0
2034,17,10,4,23.458,0.394,-0.436,-0.07,-0.02,0
2035,45,27,4,9.815,0.159,0.186,-0.105,-0.032,0
2036,8,6,2,0.671,-0.32,-0.118,0.044,-0.067,1
2037,133,63,12,24.749,-0.127,0.023,-0.033,-0.055,0
2038,56,18,15,25.675,-0.176,-0.436,0.08,0.026,0
2039,35,12,2,15.978,0.181,-0.436,0.007,-0.033,0
2040,85,43,6,22.009,0.029,-0.286,0.066,0.039,0
2041,153,68,13,26.609,0.367,-0.402,-0.001,-0.028,0
2042,28,15,2,18.745,0.258,-0.345,-0.072,-0.067,0
2043,118,52,6,21.071,0.274,-0.349,-0.025,-0.023,0
2044,37,20,2,22.001,-0.247,0.046,-0.002,-0.051,0
2045,17,7,4,2.789,-0.32,-0.136,0.048,-0.067,1
2046,91,19,6,19.919,0.332,-0.436,0.013,0.085,0
2047,38,20,6,16.533,-0.107,-0.369,0.067,-0.062,1
2048,72,42,3,20.963,0.092,-0.365,0.002,-0.031,0
2049,90,41,13,27.061,-0.11,-0.238,0.062,-0.036,0
2050,199,74,11,24.694,0.269,-0.103,-0.022,0.051,0
2051,118,62,8,26.03,-0.103,0.103,-0.038,-0.054,0
2052,14,4,1,0.023,-0.32,0.11,-0.001,-0.067,0
2053,137,72,6,20.809,0.3,-0.046,-0.065,-0.023,0
2054,149,46,11,26.996,-0.293,0.094,0.056,-0.026,0
2055,9,5,1,0.027,-0.32,-0.436,0.162,-0.067,1
2056,23,12,2,5.069,-0.32,0.228,0.041,-0.067,1
2057,23,10,1,0.005,0.149,-0.104,-0.024,0.037,0
2058,396,76,17,26.935,0.116,0.11,-0.048,-0.024,0
2059,18,13,3,12.98,0.129,-0.294,0.023,0.033,1
2060,125,57,14,26.934,-0.061,0.094,-0.054,-0.054,0
2061,57,26,3,20.428,-0.131,-0.123,0.072,0.031,1
2062,20,15,1,0.486,0.084,0.328,-0.119,0.033,1
2063,109,46,4,26.86,-0.073,0.171,-0.063,-0.025,0
2064,9,5,1,0.012,-0.32,0.13,-0.005,-0.067,1
2065,58,22,3,6.907,-0.157,-0.304,0.193,-0.005,1
2066,270,50,11,26.977,-0.1,-0.304,0.114,0.052,0
2067,4,4,1,0.001,-0.32,-0.436,0.107,-0.067,1
2068,8,6,1,0.002,-0.32,0.2,0.169,-0.017,1
2069,123,69,6,21.076,0.458,-0.063,-0.04,0.135,0
2070,4,2,1,0.001,-0.32,-0.436,0.107,-0.067,1
2071,38,16,4,22.898,0.212,-0.369,-0.038,-0.03,0
2072,40,21,2,10.929,0.017,0.264,-0.044,0.038,1
2073,6,5,1,0.001,-0.32,-0.012,0.023,-0.067,1
2074,30,18,2,13.549,0.039,-0.351,0.14,-0.034,1
2075,5,4,1,0.001,-0.32,-0.436,0.107,-0.067,1
2076,23,16,3,8.576,-0.261,0.228,-0.024,-0.015,0
2077,9,6,1,0.016,-0.32,0.412,-0.06,-0.067,1
2078,179,64,9,26.92,-0.117,0.147,-0.019,-0.046,0
2079,86,36,9,23.875,0.025,-0.14,-0.01,0.005,0
2080,5,4,1,0.01,-0.32,0.073,0.007,-0.067,0
2081,34,13,3,11.932,-0.082,-0.286,0.004,-0.067,1
2082,20,9,1,0.036,-0.32,0.582,0.007,-0.067,1
2083,41,16,2,1.019,-0.09,0.061,-0.04,-0.058,1
2084,237,65,15,26.987,-0.195,0.144,0.022,-0.003,1
2085,7,7,2,14.743,-0.32,-0.072,0.035,-0.067,1
2086,34,17,3,6.005,-0.082,0.088,-0.011,-0.026,1
2087,83,31,6,12.944,-0.06,-0.436,0.046,-0.062,1
2088,176,68,18,27.081,-0.06,0.258,-0.055,-0.021,0
2089,13,11,1,0.035,-0.32,0.347,-0.047,-0.067,1
2090,102,33,10,24.679,0.222,-0.411,0.018,0.004,0
2091,6,4,1,0.0,-0.32,-0.436,0.107,-0.067,1
2092,6,2,1,0.002,-0.32,-0.436,0.19,-0.034,1
2093,108,44,11,25.869,-0.195,-0.224,0.037,-0.038,0
2094,172,49,7,14.933,-0.179,0.274,-0.045,-0.049,0
2095,97,50,7,24.484,0.055,0.01,-0.048,-0.03,0
2096,171,68,6,21.834,-0.044,-0.093,0.174,-0.024,0
2097,5,3,1,0.008,-0.32,-0.436,0.107,-0.067,1
2098,49,22,7,22.939,-0.32,0.084,0.025,-0.035,0
2099,35,12,3,5.947,-0.281,-0.072,0.107,0.185,0
2100,150,73,12,26.908,0.174,0.107,-0.094,-0.019,0
2101,33,19,5,17.51,-0.32,-0.281,0.076,-0.067,1
2102,45,15,7,22.671,0.669,-0.436,-0.116,-0.032,0
2103,58,22,10,22.024,0.308,-0.392,-0.04,0.002,0
2104,180,86,7,27.032,0.01,0.172,-0.066,-0.054,0
2105,9,5,1,0.002,0.279,-0.153,-0.06,-0.045,1
2106,7,3,2,1.758,-0.32,-0.436,0.107,-0.067,1
2107,101,42,7,22.518,0.307,-0.36,0.022,0.036,0
2108,69,45,10,26.901,0.051,-0.325,-0.017,-0.064,0
2109,31,16,10,20.639,-0.19,-0.272,0.026,-0.067,0
2110,46,30,2,13.041,-0.027,0.339,-0.089,-0.045,0
2111,21,9,3,7.796,-0.32,-0.315,0.083,-0.067,1
2112,239,56,15,26.031,-0.106,0.214,-0.05,0.002,0
2113,69,29,5,11.513,-0.066,0.302,-0.104,-0.061,0
2114,19,12,1,0.142,-0.32,0.502,-0.051,1.264,1
2115,44,25,5,7.869,-0.259,0.374,-0.075,-0.067,1
2116,6,6,1,0.009,-0.32,-0.012,0.023,-0.067,1
2117,12,7,2,7.867,-0.095,-0.436,0.023,-0.067,1
2118,121,50,9,25.924,0.337,0.069,-0.088,-0.014,0
2119,122,31,12,16.595,-0.165,-0.436,0.086,-0.062,1
2120,12,9,2,1.001,0.579,-0.012,0.065,0.334,1
2121,42,19,7,15.007,-0.16,0.049,0.011,0.023,1
2122,36,17,7,11.902,-0.208,-0.082,0.037,-0.006,1
2123,55,25,4,26.997,0.317,-0.436,-0.03,-0.056,0
2124,46,21,2,6.555,-0.086,0.062,0.052,-0.054,0
2125,60,28,11,19.932,-0.163,0.116,0.007,0.01,1
2126,11,7,1,0.043,-0.075,-0.436,0.061,0.152,1
2127,141,48,16,26.982,-0.071,0.178,-0.053,-0.05,0
2128,51,22,7,14.459,-0.109,-0.386,0.038,-0.052,0
2129,8,6,1,0.053,-0.32,-0.118,0.044,-0.067,0
2130,198,68,14,26.61,-0.191,-0.037,0.011,-0.039,0
2131,18,12,2,4.949,-0.32,0.412,-0.06,-0.067,1
2132,24,9,2,6.932,0.017,-0.33,0.065,-0.059,0
2133,63,14,13,12.035,-0.32,0.695,-0.092,-0.061,1
2134,46,13,6,26.972,0.208,-0.436,-0.002,-0.024,0
2135,4,3,1,0.006,-0.32,0.2,-0.018,-0.067,1
2136,290,74,9,25.887,0.038,0.108,0.005,0.003,0
2137,102,50,10,24.66,0.235,-0.361,-0.011,-0.044,0
2138,63,43,2,23.059,-0.32,0.574,-0.076,0.022,0
2139,103,55,7,25.993,0.321,0.058,-0.093,0.003,0
2140,18,6,2,5.554,-0.32,0.554,-0.088,-0.067,1
2141,5,4,1,0.001,-0.32,-0.436,0.107,-0.067,1
2142,7,6,1,0.01,-0.32,-0.436,0.107,-0.067,1
2143,11,7,1,0.065,-0.32,0.258,-0.03,-0.067,1
2144,4,4,1,0.008,-0.32,0.2,0.107,0.434,1
2145,6,4,1,0.309,-0.32,-0.012,0.942,1.839,1
2146,92,44,4,16.466,0.017,0.173,-0.051,0.105,1
2147,83,49,7,23.986,0.119,0.177,-0.08,-0.019,0
2148,193,82,8,26.625,0.015,-0.053,0.016,-0.009,1
2149,10,6,2,0.559,-0.32,-0.436,0.157,-0.047,0
2150,16,13,1,0.052,-0.151,0.518,-0.144,-0.067,1
2151,52,28,8,22.942,-0.061,0.005,0.068,0.087,1
2152,16,8,6,13.942,-0.32,0.2,-0.018,-0.067,1
2153,37,17,3,9.856,-0.32,-0.367,0.093,-0.067,1
2154,172,59,10,26.595,0.009,-0.332,0.031,-0.024,0
2155,101,36,7,22.5,0.147,-0.083,0.022,-0.004,1
2156,229,90,10,26.823,-0.008,0.298,-0.105,-0.06,0
2157,30,10,3,1.552,-0.32,-0.012,0.09,0.107,1
2158,8,5,3,12.059,0.017,-0.436,0.044,0.158,1
2159,32,19,4,8.568,-0.151,-0.197,0.013,-0.061,1
2160,46,24,4,15.411,-0.261,0.283,0.052,0.129,1
2161,52,15,9,25.491,0.199,-0.436,0.039,0.045,0
2162,168,70,6,21.882,0.041,-0.042,0.014,0.645,0
2163,28,10,4,15.59,0.161,-0.436,0.017,-0.003,1
2164,54,19,5,5.583,-0.195,-0.2,0.088,0.066,1
2165,107,21,12,24.006,-0.295,0.492,-0.081,-0.067,1
2166,163,69,5,20.19,0.06,0.329,-0.068,0.257,0
2167,137,47,13,25.079,-0.064,0.251,-0.091,-0.051,0
2168,115,67,13,25.666,0.02,0.073,-0.041,-0.029,0
2169,135,46,8,19.081,0.01,-0.078,0.021,-0.012,0
2170,17,8,2,5.499,0.711,-0.436,0.077,0.724,1
2171,37,13,4,5.219,-0.211,0.114,-0.015,-0.029,1
2172,64,35,7,21.971,0.333,-0.436,0.068,0.221,0
2173,54,18,6,9.564,-0.145,0.035,0.051,0.066,1
2174,71,31,6,25.949,0.193,-0.006,-0.006,0.631,0
2175,147,29,10,21.265,-0.247,0.066,0.008,-0.052,0
2176,51,22,6,14.457,-0.003,-0.286,0.018,-0.044,1
2177,36,13,7,26.929,0.054,-0.436,0.023,0.089,0
2178,92,38,8,24.584,-0.1,0.117,-0.057,-0.065,1
2179,92,63,5,24.676,0.149,0.311,-0.133,0.011,0
2180,94,53,9,26.302,-0.019,-0.03,-0.042,-0.02,0
2181,4,4,1,0.135,-0.32,0.2,-0.018,-0.067,1
2182,51,16,7,18.496,-0.294,0.313,0.038,-0.067,0
2183,60,31,5,15.98,0.017,0.37,-0.085,0.033,1
2184,103,51,6,26.573,-0.084,0.182,-0.068,-0.063,0
2185,111,69,7,20.527,0.178,0.092,-0.087,-0.047,0
2186,27,15,2,1.995,-0.07,0.224,-0.042,0.133,1
2187,72,27,4,6.994,-0.189,0.165,0.03,-0.059,1
2188,21,11,3,26.337,-0.32,0.291,-0.036,-0.067,0
2189,43,13,3,14.275,0.464,-0.377,-0.126,-0.053,0
2190,100,41,14,25.439,-0.145,-0.385,0.102,0.061,0
2191,86,18,3,6.395,-0.21,-0.347,0.142,-0.051,1
2192,68,31,6,14.467,0.354,-0.136,-0.07,-0.002,0
2193,110,63,7,26.473,0.256,0.073,-0.098,0.022,0
2194,27,17,3,7.337,0.079,-0.153,-0.023,-0.008,1
2195,78,29,5,19.598,-0.095,0.151,-0.028,-0.008,0
2196,12,6,2,3.422,-0.32,-0.224,0.065,-0.067,1
2197,6,6,1,0.007,-0.32,-0.012,0.023,-0.067,1
2198,6,5,1,0.001,-0.32,-0.436,0.19,0.167,1
2199,67,23,4,18.159,-0.199,-0.208,0.137,0.076,1
2200,6,5,1,0.034,-0.32,-0.436,0.274,0.468,1
2201,16,7,1,0.041,0.186,0.041,-0.081,-0.055,1
2202,14,5,1,0.034,-0.32,-0.436,0.214,0.148,1
2203,20,15,2,2.487,-0.185,0.2,0.007,0.023,1
2204,4,4,1,0.008,-0.32,0.2,-0.018,-0.067,1
2205,104,29,8,23.441,-0.139,-0.338,0.068,0.05,0
2206,23,16,4,22.196,0.208,0.007,-0.067,0.212,1
2207,76,36,9,22.531,-0.143,0.502,-0.098,0.31,0
2208,231,75,10,21.515,0.153,-0.083,-0.002,0.007,0
2209,59,26,8,14.045,-0.092,-0.306,0.039,-0.026,1
2210,39,20,5,5.29,-0.182,-0.436,0.068,-0.067,1
2211,55,24,8,17.402,-0.173,-0.251,0.07,-0.042,0
2212,32,12,4,7.957,-0.32,0.598,-0.097,-0.067,1
2213,80,19,7,20.537,0.034,-0.404,0.007,0.013,0
2214,31,21,4,15.132,-0.103,-0.436,0.026,-0.067,1
2215,180,73,8,20.477,0.152,0.2,-0.102,-0.033,0
2216,194,52,5,21.137,0.292,-0.436,0.112,0.003,0
2217,186,31,15,20.056,-0.305,-0.231,0.118,-0.026,1
2218,49,24,4,18.049,-0.155,0.135,-0.036,-0.051,0
2219,83,61,3,25.06,-0.255,0.269,-0.044,-0.067,0
2220,6,5,1,0.037,-0.32,-0.436,0.107,-0.067,1
2221,99,36,11,26.454,-0.184,0.284,-0.065,-0.029,1
2222,103,45,4,13.974,-0.176,0.083,0.112,-0.028,0
2223,12,6,3,7.029,-0.32,-0.436,0.149,-0.067,1
2224,153,64,11,21.124,-0.056,0.03,-0.008,-0.008,0
2225,24,15,2,3.276,-0.039,0.094,-0.06,-0.051,1
2226,13,9,2,12.902,-0.009,-0.436,-0.009,-0.067,1
2227,86,42,3,24.443,-0.116,0.363,-0.097,-0.065,0
2228,39,24,2,23.425,0.06,-0.37,0.017,-0.042,1
2229,108,46,10,24.253,-0.195,0.318,-0.07,-0.062,1
2230,7,4,1,0.014,-0.32,-0.436,0.107,-0.067,1
2231,131,58,9,22.037,0.308,0.05,-0.054,-0.027,0
2232,8,6,2,0.162,-0.32,0.2,-0.018,-0.067,1
2233,152,64,10,26.177,0.15,-0.034,-0.061,-0.049,0
2234,68,26,7,12.593,-0.241,0.313,-0.048,-0.058,1
2235,81,24,8,15.538,-0.137,-0.027,-0.011,-0.065,0
2236,70,40,10,17.535,-0.127,0.364,-0.094,-0.064,0
2237,191,70,6,23.172,0.365,-0.036,-0.045,0.011,0
2238,24,10,4,18.015,-0.32,-0.118,0.044,-0.067,1
2239,151,53,7,26.299,0.091,0.12,-0.076,-0.042,0
2240,27,20,4,7.324,-0.17,0.224,-0.079,-0.067,1
2241,82,46,7,14.327,-0.057,0.309,-0.07,-0.016,0
2242,19,9,2,8.483,0.106,-0.302,-0.025,-0.067,1
2243,322,94,8,26.543,0.023,0.236,-0.08,-0.038,0
2244,4,2,1,0.001,-0.32,-0.436,0.107,-0.067,1
2245,48,30,5,14.227,0.101,-0.277,0.044,-0.038,0
2246,14,10,2,8.079,-0.32,0.11,0.107,-0.024,1
2247,228,59,17,25.992,-0.243,-0.302,0.096,-0.022,0
2248,48,19,5,8.997,-0.264,0.359,-0.05,-0.038,1
2249,71,32,5,14.206,-0.168,-0.364,0.079,-0.045,0
